
Sample-level average across 5 folds - Epoch 23
Overall Results:
Macro-F1: 0.4048
Macro-Precision: 0.5468
Macro-Recall: 0.5058
Accuracy: 0.5931

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.1299   0.8333       0.0704     0.5180     3.02
2        0.0769   0.4286       0.0423     0.6588     3.00
3        0.0519   0.3333       0.0282     0.6667     3.05
4        0.1481   0.6000       0.0845     0.6849     3.11
5        0.0000   0.0000       0.0000     0.6621     3.83
6        0.0526   0.5000       0.0278     0.6786     3.11
7        0.1316   1.0000       0.0704     0.6986     3.88
8        0.0278   1.0000       0.0141     0.6833     3.91
9        0.1481   0.6000       0.0845     0.6878     3.12
10       0.0274   0.5000       0.0141     0.6787     3.84
11       0.0533   0.5000       0.0282     0.6787     3.90
12       0.0779   0.5000       0.0423     0.5170     3.89
13       0.0000   0.0000       0.0000     0.6742     3.13
14       0.0278   1.0000       0.0141     0.6833     3.88
15       0.0000   0.0000       0.0000     0.6606     3.05
16       0.0533   0.5000       0.0282     0.5137     3.03
17       0.0541   0.6667       0.0282     0.5205     3.10
18       0.0779   0.5000       0.0423     0.5137     3.07
21       0.0000   0.0000       0.0000     0.6892     4.11
22       0.0000   0.0000       0.0000     0.6892     4.16
31       0.0548   0.5000       0.0290     0.5175     3.13
32       0.0267   0.1667       0.0145     0.4895     3.12
33       0.0286   1.0000       0.0145     0.5278     3.23
34       0.0548   0.5000       0.0290     0.5175     3.13
41       0.1039   0.5714       0.0571     0.5274     3.79
42       0.0000   0.0000       0.0000     0.5577     3.25
43       0.2222   0.7500       0.1304     0.6038     3.89
45       0.0541   0.5000       0.0286     0.5105     4.00
51       0.1026   0.5000       0.0571     0.5139     3.80
52       0.0000   0.0000       0.0000     0.4792     3.83
53       0.0789   0.5000       0.0429     0.5139     3.94
54       0.0519   0.2857       0.0286     0.4895     4.03
61       0.0800   0.5000       0.0435     0.5577     3.25
62       0.0000   0.0000       0.0000     0.5660     3.91
63       0.1429   0.4286       0.0857     0.5068     3.90
64       0.1446   0.4615       0.0857     0.5137     3.88
66       0.1299   0.7143       0.0714     0.5379     3.92
67       0.1266   0.5556       0.0714     0.5274     3.79
68       0.0533   0.4000       0.0286     0.5137     4.01
72       0.0000   0.0000       0.0000     0.5238     62.07
73       0.1282   0.6250       0.0714     0.5374     28.14
