
Variant-level average across 5 folds - Epoch 61
Overall Results:
Macro-F1: 0.4893
Macro-Precision: 0.4953
Macro-Recall: 0.4959
Accuracy: 0.5336

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.1818   0.4706       0.1127     0.4820     3.02
2        0.1205   0.1053       0.1408     0.3081     3.00
3        0.5874   0.5833       0.5915     0.7306     3.05
4        0.3093   0.5769       0.2113     0.6941     3.11
5        0.1887   0.2857       0.1408     0.6073     3.83
6        0.3297   0.2727       0.4167     0.4554     3.11
7        0.4333   0.5306       0.3662     0.6895     3.88
8        0.0134   0.0128       0.0141     0.3348     3.91
9        0.1754   0.1500       0.2113     0.3620     3.12
10       0.2759   0.7500       0.1690     0.7149     3.84
11       0.2222   0.3929       0.1549     0.6516     3.90
12       0.2667   0.2812       0.2535     0.3265     3.89
13       0.2316   0.4583       0.1549     0.6697     3.13
14       0.3697   0.4583       0.3099     0.6606     3.88
15       0.8250   0.7416       0.9296     0.8733     3.05
16       0.2481   0.2759       0.2254     0.3356     3.03
17       0.1707   0.6364       0.0986     0.5342     3.10
18       0.2362   0.2679       0.2113     0.3356     3.07
21       0.2500   0.4444       0.1739     0.6757     4.11
22       0.5000   0.5882       0.4348     0.7297     4.16
31       0.6866   0.7077       0.6667     0.7063     3.13
32       0.9474   0.9844       0.9130     0.9510     3.12
33       0.0000   0.0000       0.0000     0.3611     3.23
34       0.3619   0.5278       0.2754     0.5315     3.13
41       0.1333   0.3000       0.0857     0.4658     3.79
42       0.0645   0.1250       0.0435     0.4423     3.25
43       0.0556   0.0769       0.0435     0.3585     3.89
45       0.5414   0.5714       0.5143     0.5734     4.00
51       0.3881   0.4062       0.3714     0.4306     3.80
52       0.8514   0.8077       0.9000     0.8472     3.83
53       0.1770   0.2326       0.1429     0.3542     3.94
54       0.2526   0.4800       0.1714     0.5035     4.03
61       0.2000   0.4286       0.1304     0.5385     3.25
62       0.6939   0.6538       0.7391     0.7170     3.91
63       0.2941   0.3030       0.2857     0.3425     3.90
64       0.7826   0.7941       0.7714     0.7945     3.88
66       0.1022   0.1045       0.1000     0.1517     3.92
67       0.2443   0.2623       0.2286     0.3219     3.79
68       0.1412   0.4000       0.0857     0.5000     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.2198   0.4762       0.1429     0.5170     28.14
