
Sample-level average across 5 folds - Epoch 90
Overall Results:
Macro-F1: 0.6268
Macro-Precision: 0.6276
Macro-Recall: 0.6262
Accuracy: 0.6417

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6829   0.8077       0.5915     0.7194     3.02
2        0.5676   0.5455       0.5915     0.6967     3.00
3        0.5811   0.5584       0.6056     0.7169     3.05
4        0.5846   0.6441       0.5352     0.7534     3.11
5        0.4832   0.4615       0.5070     0.6484     3.83
6        0.5655   0.5616       0.5694     0.7188     3.11
7        0.5946   0.5714       0.6197     0.7260     3.88
8        0.5362   0.5522       0.5211     0.7104     3.91
9        0.6351   0.6104       0.6620     0.7557     3.12
10       0.5070   0.5070       0.5070     0.6833     3.84
11       0.5541   0.5325       0.5775     0.7014     3.90
12       0.6202   0.6897       0.5634     0.6667     3.89
13       0.5899   0.6029       0.5775     0.7421     3.13
14       0.6111   0.6027       0.6197     0.7466     3.88
15       0.5655   0.5541       0.5775     0.7149     3.05
16       0.6560   0.7593       0.5775     0.7055     3.03
17       0.6767   0.7258       0.6338     0.7055     3.10
18       0.6618   0.6923       0.6338     0.6849     3.07
21       0.3333   0.3200       0.3478     0.5676     4.11
22       0.4151   0.3667       0.4783     0.5811     4.16
31       0.6870   0.7258       0.6522     0.7133     3.13
32       0.6569   0.6618       0.6522     0.6713     3.12
33       0.5481   0.5606       0.5362     0.5764     3.23
34       0.6154   0.6557       0.5797     0.6503     3.13
41       0.4242   0.4516       0.4000     0.4795     3.79
42       0.3158   0.4000       0.2609     0.5000     3.25
43       0.5000   0.5238       0.4783     0.5849     3.89
45       0.5217   0.5294       0.5143     0.5385     4.00
51       0.5694   0.5541       0.5857     0.5694     3.80
52       0.5481   0.5692       0.5286     0.5764     3.83
53       0.4923   0.5333       0.4571     0.5417     3.94
54       0.6043   0.6087       0.6000     0.6154     4.03
61       0.2791   0.3000       0.2609     0.4038     3.25
62       0.4286   0.3636       0.5217     0.3962     3.91
63       0.5070   0.5000       0.5143     0.5205     3.90
64       0.4511   0.4762       0.4286     0.5000     3.88
66       0.5753   0.5526       0.6000     0.5724     3.92
67       0.4672   0.4776       0.4571     0.5000     3.79
68       0.5116   0.5593       0.4714     0.5685     4.01
72       0.3803   0.3750       0.3857     0.4014     62.07
73       0.4604   0.4638       0.4571     0.4898     28.14
