
Variant-level average across 5 folds - Epoch 25
Overall Results:
Macro-F1: 0.5931
Macro-Precision: 0.6049
Macro-Recall: 0.5934
Accuracy: 0.6252

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6214   1.0000       0.4507     0.7194     3.02
2        0.5000   0.5849       0.4366     0.7062     3.00
3        0.6515   0.7049       0.6056     0.7900     3.05
4        0.5490   0.9032       0.3944     0.7900     3.11
5        0.4085   0.4085       0.4085     0.6164     3.83
6        0.6522   0.6818       0.6250     0.7857     3.11
7        0.4737   0.4444       0.5070     0.6347     3.88
8        0.1986   0.2000       0.1972     0.4887     3.91
9        0.4426   0.5294       0.3803     0.6923     3.12
10       0.6239   0.8947       0.4789     0.8145     3.84
11       0.6716   0.7143       0.6338     0.8009     3.90
12       0.3148   0.4595       0.2394     0.4966     3.89
13       0.5500   0.6735       0.4648     0.7557     3.13
14       0.4780   0.4318       0.5352     0.6244     3.88
15       0.6567   0.6984       0.6197     0.7919     3.05
16       0.5000   0.7297       0.3803     0.6301     3.03
17       0.5849   0.8857       0.4366     0.6986     3.10
18       0.4808   0.7576       0.3521     0.6301     3.07
21       0.4242   0.7000       0.3043     0.7432     4.11
22       0.0000   0.0000       0.0000     0.4324     4.16
31       0.6870   0.7258       0.6522     0.7133     3.13
32       0.7257   0.9318       0.5942     0.7832     3.12
33       0.2742   0.3091       0.2464     0.3750     3.23
34       0.5714   0.8333       0.4348     0.6853     3.13
41       0.1869   0.2703       0.1429     0.4041     3.79
42       0.2500   0.2941       0.2174     0.4231     3.25
43       0.0976   0.1111       0.0870     0.3019     3.89
45       0.3297   0.7143       0.2143     0.5734     4.00
51       0.4714   0.4714       0.4714     0.4861     3.80
52       0.4602   0.6047       0.3714     0.5764     3.83
53       0.3333   0.3548       0.3143     0.3889     3.94
54       0.6667   0.6765       0.6571     0.6783     4.03
61       0.3125   0.5556       0.2174     0.5769     3.25
62       0.3333   0.3684       0.3043     0.4717     3.91
63       0.3916   0.3836       0.4000     0.4041     3.90
64       0.8514   0.8077       0.9000     0.8493     3.88
66       0.3800   0.6333       0.2714     0.5724     3.92
67       0.3973   0.3816       0.4143     0.3973     3.79
68       0.6466   0.6825       0.6143     0.6781     4.01
72       0.0000   0.0000       0.0000     0.0068     62.07
73       0.4800   0.5455       0.4286     0.5578     28.14
