
Sample-level average across 5 folds - Epoch 36
Overall Results:
Macro-F1: 0.7141
Macro-Precision: 0.7139
Macro-Recall: 0.7144
Accuracy: 0.7238

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8175   0.8485       0.7887     0.8201     3.02
2        0.6755   0.6375       0.7183     0.7678     3.00
3        0.6993   0.6944       0.7042     0.8037     3.05
4        0.7770   0.7941       0.7606     0.8584     3.11
5        0.5970   0.6349       0.5634     0.7534     3.83
6        0.7259   0.7778       0.6806     0.8348     3.11
7        0.5890   0.5733       0.6056     0.7260     3.88
8        0.5649   0.6167       0.5211     0.7421     3.91
9        0.7324   0.7324       0.7324     0.8281     3.12
10       0.6111   0.6027       0.6197     0.7466     3.84
11       0.6424   0.5638       0.7465     0.7330     3.90
12       0.6504   0.7692       0.5634     0.7075     3.89
13       0.7285   0.6875       0.7746     0.8145     3.13
14       0.7089   0.6437       0.7887     0.7919     3.88
15       0.7619   0.7368       0.7887     0.8416     3.05
16       0.8148   0.8594       0.7746     0.8288     3.03
17       0.7972   0.7917       0.8028     0.8014     3.10
18       0.7794   0.8154       0.7465     0.7945     3.07
21       0.3889   0.5385       0.3043     0.7027     4.11
22       0.5116   0.5500       0.4783     0.7162     4.16
31       0.7761   0.8000       0.7536     0.7902     3.13
32       0.7194   0.7143       0.7246     0.7273     3.12
33       0.5538   0.5902       0.5217     0.5972     3.23
34       0.7597   0.8167       0.7101     0.7832     3.13
41       0.4722   0.4595       0.4857     0.4795     3.79
42       0.6809   0.6667       0.6957     0.7115     3.25
43       0.6000   0.5556       0.6522     0.6226     3.89
45       0.5735   0.5909       0.5571     0.5944     4.00
51       0.7133   0.6986       0.7286     0.7153     3.80
52       0.7246   0.7353       0.7143     0.7361     3.83
53       0.7143   0.7143       0.7143     0.7222     3.94
54       0.7050   0.7101       0.7000     0.7133     4.03
61       0.5652   0.5652       0.5652     0.6154     3.25
62       0.4314   0.3929       0.4783     0.4528     3.91
63       0.6622   0.6282       0.7000     0.6575     3.90
64       0.6525   0.6479       0.6571     0.6644     3.88
66       0.6000   0.5625       0.6429     0.5862     3.92
67       0.6164   0.5921       0.6429     0.6164     3.79
68       0.6301   0.6053       0.6571     0.6301     4.01
72       0.3597   0.3623       0.3571     0.3946     62.07
73       0.5166   0.4815       0.5571     0.5034     28.14
