
Variant-level average across 5 folds - Epoch 14
Overall Results:
Macro-F1: 0.6122
Macro-Precision: 0.6118
Macro-Recall: 0.6128
Accuracy: 0.6241

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8143   0.8261       0.8028     0.8129     3.02
2        0.7397   0.7200       0.7606     0.8199     3.00
3        0.7500   0.7397       0.7606     0.8356     3.05
4        0.6325   0.8043       0.5211     0.8037     3.11
5        0.4790   0.4167       0.5634     0.6027     3.83
6        0.5890   0.5811       0.5972     0.7321     3.11
7        0.3550   0.3061       0.4225     0.5023     3.88
8        0.2166   0.1977       0.2394     0.4434     3.91
9        0.5547   0.5758       0.5352     0.7240     3.12
10       0.5532   0.5571       0.5493     0.7149     3.84
11       0.6070   0.4692       0.8592     0.6425     3.90
12       0.2301   0.3095       0.1831     0.4082     3.89
13       0.7407   0.7812       0.7042     0.8416     3.13
14       0.3815   0.3235       0.4648     0.5158     3.88
15       0.7568   0.7273       0.7887     0.8371     3.05
16       0.5902   0.7059       0.5070     0.6575     3.03
17       0.8382   0.8769       0.8028     0.8493     3.10
18       0.6818   0.7377       0.6338     0.7123     3.07
21       0.5385   0.4828       0.6087     0.6757     4.11
22       0.2917   0.2800       0.3043     0.5405     4.16
31       0.7244   0.7931       0.6667     0.7552     3.13
32       0.7481   0.7903       0.7101     0.7692     3.12
33       0.2319   0.2319       0.2319     0.2639     3.23
34       0.6560   0.7321       0.5942     0.6993     3.13
41       0.2041   0.1948       0.2143     0.1986     3.79
42       0.2222   0.2273       0.2174     0.3269     3.25
43       0.2642   0.2333       0.3043     0.2642     3.89
45       0.5143   0.7714       0.3857     0.6434     4.00
51       0.5775   0.5694       0.5857     0.5833     3.80
52       0.6389   0.6216       0.6571     0.6389     3.83
53       0.5816   0.5775       0.5857     0.5903     3.94
54       0.7273   0.7123       0.7429     0.7273     4.03
61       0.5333   0.5455       0.5217     0.5962     3.25
62       0.3462   0.3103       0.3913     0.3585     3.91
63       0.5857   0.5857       0.5857     0.6027     3.90
64       0.5984   0.6667       0.5429     0.6507     3.88
66       0.5917   0.5051       0.7143     0.5241     3.92
67       0.5430   0.5062       0.5857     0.5274     3.79
68       0.6029   0.6212       0.5857     0.6301     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5200   0.4875       0.5571     0.5102     28.14
