
Variant-level average across 5 folds - Epoch 41
Overall Results:
Macro-F1: 0.6353
Macro-Precision: 0.6346
Macro-Recall: 0.6373
Accuracy: 0.6441

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8252   0.8194       0.8310     0.8201     3.02
2        0.7389   0.6744       0.8169     0.8057     3.00
3        0.7692   0.7059       0.8451     0.8356     3.05
4        0.7704   0.8125       0.7324     0.8584     3.11
5        0.4000   0.4058       0.3944     0.6164     3.83
6        0.7037   0.6333       0.7917     0.7857     3.11
7        0.4125   0.3708       0.4648     0.5708     3.88
8        0.2143   0.2174       0.2113     0.5023     3.91
9        0.6395   0.6184       0.6620     0.7602     3.12
10       0.5669   0.6429       0.5070     0.7511     3.84
11       0.7126   0.6019       0.8732     0.7738     3.90
12       0.4878   0.5769       0.4225     0.5714     3.89
13       0.6879   0.6279       0.7606     0.7783     3.13
14       0.5402   0.4563       0.6620     0.6380     3.88
15       0.7190   0.6707       0.7746     0.8054     3.05
16       0.6667   0.7414       0.6056     0.7055     3.03
17       0.7883   0.8182       0.7606     0.8014     3.10
18       0.6870   0.7500       0.6338     0.7192     3.07
21       0.4500   0.5294       0.3913     0.7027     4.11
22       0.1587   0.1250       0.2174     0.2838     4.16
31       0.7971   0.7971       0.7971     0.8042     3.13
32       0.7385   0.7869       0.6957     0.7622     3.12
33       0.2154   0.2295       0.2029     0.2917     3.23
34       0.7360   0.8214       0.6667     0.7692     3.13
41       0.2837   0.2817       0.2857     0.3082     3.79
42       0.2917   0.2800       0.3043     0.3462     3.25
43       0.3137   0.2857       0.3478     0.3396     3.89
45       0.5254   0.6458       0.4429     0.6084     4.00
51       0.6164   0.5506       0.7000     0.5764     3.80
52       0.7552   0.7397       0.7714     0.7569     3.83
53       0.5752   0.5301       0.6286     0.5486     3.94
54       0.7344   0.8103       0.6714     0.7622     4.03
61       0.4103   0.5000       0.3478     0.5577     3.25
62       0.3462   0.3103       0.3913     0.3585     3.91
63       0.5679   0.5000       0.6571     0.5205     3.90
64       0.7089   0.6364       0.8000     0.6849     3.88
66       0.5521   0.4839       0.6429     0.4966     3.92
67       0.4626   0.4416       0.4857     0.4589     3.79
68       0.6215   0.5140       0.7857     0.5411     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5235   0.4937       0.5571     0.5170     28.14
