
Sample-level average across 5 folds - Epoch 42
Overall Results:
Macro-F1: 0.7219
Macro-Precision: 0.7207
Macro-Recall: 0.7239
Accuracy: 0.7295

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7883   0.8182       0.7606     0.7914     3.02
2        0.7020   0.6625       0.7465     0.7867     3.00
3        0.7226   0.6667       0.7887     0.8037     3.05
4        0.7943   0.8000       0.7887     0.8676     3.11
5        0.6714   0.6812       0.6620     0.7900     3.83
6        0.7550   0.7215       0.7917     0.8348     3.11
7        0.5342   0.5200       0.5493     0.6895     3.88
8        0.6043   0.6176       0.5915     0.7511     3.91
9        0.7550   0.7125       0.8028     0.8326     3.12
10       0.6014   0.5972       0.6056     0.7421     3.84
11       0.6429   0.5567       0.7606     0.7285     3.90
12       0.6393   0.7647       0.5493     0.7007     3.89
13       0.7763   0.7284       0.8310     0.8462     3.13
14       0.6968   0.6429       0.7606     0.7873     3.88
15       0.7532   0.6988       0.8169     0.8281     3.05
16       0.8529   0.8923       0.8169     0.8630     3.03
17       0.7681   0.7910       0.7465     0.7808     3.10
18       0.8116   0.8358       0.7887     0.8219     3.07
21       0.3333   0.3684       0.3043     0.6216     4.11
22       0.5455   0.5714       0.5217     0.7297     4.16
31       0.7826   0.7826       0.7826     0.7902     3.13
32       0.7500   0.7612       0.7391     0.7622     3.12
33       0.5507   0.5507       0.5507     0.5694     3.23
34       0.7353   0.7463       0.7246     0.7483     3.13
41       0.5641   0.5116       0.6286     0.5342     3.79
42       0.6667   0.6818       0.6522     0.7115     3.25
43       0.5660   0.5000       0.6522     0.5660     3.89
45       0.6475   0.6522       0.6429     0.6573     4.00
51       0.6761   0.6667       0.6857     0.6806     3.80
52       0.7429   0.7429       0.7429     0.7500     3.83
53       0.6667   0.6620       0.6714     0.6736     3.94
54       0.7172   0.6933       0.7429     0.7133     4.03
61       0.5581   0.6000       0.5217     0.6346     3.25
62       0.4706   0.4286       0.5217     0.4906     3.91
63       0.6483   0.6267       0.6714     0.6507     3.90
64       0.7114   0.6709       0.7571     0.7055     3.88
66       0.6497   0.5862       0.7286     0.6207     3.92
67       0.6853   0.6712       0.7000     0.6918     3.79
68       0.6400   0.6000       0.6857     0.6301     4.01
72       0.4507   0.4444       0.4571     0.4694     62.07
73       0.4901   0.4568       0.5286     0.4762     28.14
