
Sample-level average across 5 folds - Epoch 45
Overall Results:
Macro-F1: 0.6942
Macro-Precision: 0.6985
Macro-Recall: 0.6919
Accuracy: 0.7094

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7939   0.8667       0.7324     0.8058     3.02
2        0.6294   0.6250       0.6338     0.7488     3.00
3        0.7333   0.6962       0.7746     0.8174     3.05
4        0.7164   0.7619       0.6761     0.8265     3.11
5        0.6074   0.6406       0.5775     0.7580     3.83
6        0.6187   0.6418       0.5972     0.7634     3.11
7        0.5672   0.6032       0.5352     0.7352     3.88
8        0.5630   0.5938       0.5352     0.7330     3.91
9        0.7313   0.7778       0.6901     0.8371     3.12
10       0.6087   0.6269       0.5915     0.7557     3.84
11       0.5850   0.5658       0.6056     0.7240     3.90
12       0.5345   0.6889       0.4366     0.6327     3.89
13       0.7153   0.7424       0.6901     0.8235     3.13
14       0.6525   0.6571       0.6479     0.7783     3.88
15       0.7211   0.6974       0.7465     0.8145     3.05
16       0.7049   0.8431       0.6056     0.7534     3.03
17       0.6929   0.7857       0.6197     0.7329     3.10
18       0.7481   0.8167       0.6901     0.7740     3.07
21       0.4118   0.6364       0.3043     0.7297     4.11
22       0.4444   0.4545       0.4348     0.6622     4.16
31       0.8060   0.8308       0.7826     0.8182     3.13
32       0.7050   0.7000       0.7101     0.7133     3.12
33       0.6260   0.6613       0.5942     0.6597     3.23
34       0.6825   0.7544       0.6232     0.7203     3.13
41       0.4857   0.4857       0.4857     0.5068     3.79
42       0.5714   0.6316       0.5217     0.6538     3.25
43       0.3750   0.3600       0.3913     0.4340     3.89
45       0.5652   0.5735       0.5571     0.5804     4.00
51       0.6515   0.6935       0.6143     0.6806     3.80
52       0.7460   0.8393       0.6714     0.7778     3.83
53       0.6462   0.7000       0.6000     0.6806     3.94
54       0.6466   0.6825       0.6143     0.6713     4.03
61       0.4651   0.5000       0.4348     0.5577     3.25
62       0.4074   0.3548       0.4783     0.3962     3.91
63       0.6029   0.6212       0.5857     0.6301     3.90
64       0.6094   0.6724       0.5571     0.6575     3.88
66       0.4615   0.5000       0.4286     0.5172     3.92
67       0.6056   0.5972       0.6143     0.6164     3.79
68       0.5985   0.6119       0.5857     0.6233     4.01
72       0.4409   0.4912       0.4000     0.5170     62.07
73       0.4714   0.4714       0.4714     0.4966     28.14
