
Variant-level average across 5 folds - Epoch 22
Overall Results:
Macro-F1: 0.5926
Macro-Precision: 0.6005
Macro-Recall: 0.5923
Accuracy: 0.6205

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.5405   0.7500       0.4225     0.6331     3.02
2        0.6154   0.5647       0.6761     0.7156     3.00
3        0.6400   0.7407       0.5634     0.7945     3.05
4        0.6154   0.7826       0.5070     0.7945     3.11
5        0.3761   0.4783       0.3099     0.6667     3.83
6        0.5175   0.5211       0.5139     0.6920     3.11
7        0.3000   0.3673       0.2535     0.6164     3.88
8        0.0597   0.0635       0.0563     0.4299     3.91
9        0.5401   0.5606       0.5211     0.7149     3.12
10       0.5391   0.7045       0.4366     0.7602     3.84
11       0.5468   0.5588       0.5352     0.7149     3.90
12       0.0943   0.1429       0.0704     0.3469     3.89
13       0.7385   0.8136       0.6761     0.8462     3.13
14       0.2735   0.3478       0.2254     0.6154     3.88
15       0.7376   0.7429       0.7324     0.8326     3.05
16       0.6562   0.7368       0.5915     0.6986     3.03
17       0.5357   0.7317       0.4225     0.6438     3.10
18       0.5760   0.6667       0.5070     0.6370     3.07
21       0.3810   0.4211       0.3478     0.6486     4.11
22       0.1154   0.1034       0.1304     0.3784     4.16
31       0.6721   0.7736       0.5942     0.7203     3.13
32       0.7656   0.8305       0.7101     0.7902     3.12
33       0.2178   0.3438       0.1594     0.4514     3.23
34       0.6154   0.7500       0.5217     0.6853     3.13
41       0.2992   0.3333       0.2714     0.3904     3.79
42       0.3415   0.3889       0.3043     0.4808     3.25
43       0.2909   0.2500       0.3478     0.2642     3.89
45       0.4685   0.6341       0.3714     0.5874     4.00
51       0.6718   0.7213       0.6286     0.7014     3.80
52       0.7805   0.9057       0.6857     0.8125     3.83
53       0.6400   0.7273       0.5714     0.6875     3.94
54       0.4808   0.7353       0.3571     0.6224     4.03
61       0.2857   0.3158       0.2609     0.4231     3.25
62       0.4138   0.3429       0.5217     0.3585     3.91
63       0.6383   0.6338       0.6429     0.6507     3.90
64       0.4412   0.4545       0.4286     0.4795     3.88
66       0.1575   0.1754       0.1429     0.2621     3.92
67       0.2883   0.3902       0.2286     0.4589     3.79
68       0.6098   0.5319       0.7143     0.5616     4.01
72       0.0000   0.0000       0.0000     0.0476     62.07
73       0.5769   0.5233       0.6429     0.5510     28.14
