
Sample-level average across 5 folds - Epoch 30
Overall Results:
Macro-F1: 0.6935
Macro-Precision: 0.6951
Macro-Recall: 0.7021
Accuracy: 0.6967

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8054   0.7692       0.8451     0.7914     3.02
2        0.6145   0.5368       0.7183     0.6967     3.00
3        0.6667   0.5773       0.7887     0.7443     3.05
4        0.6623   0.6145       0.7183     0.7626     3.11
5        0.7013   0.6506       0.7606     0.7900     3.83
6        0.6747   0.5957       0.7778     0.7589     3.11
7        0.6242   0.5698       0.6901     0.7306     3.88
8        0.5897   0.5412       0.6479     0.7104     3.91
9        0.6545   0.5745       0.7606     0.7421     3.12
10       0.6364   0.5904       0.6901     0.7466     3.84
11       0.6341   0.5591       0.7324     0.7285     3.90
12       0.5362   0.5522       0.5211     0.5646     3.89
13       0.6829   0.6022       0.7887     0.7647     3.13
14       0.6909   0.6064       0.8028     0.7692     3.88
15       0.6905   0.5979       0.8169     0.7647     3.05
16       0.8000   0.7838       0.8169     0.8014     3.03
17       0.7801   0.7857       0.7746     0.7877     3.10
18       0.7972   0.7917       0.8028     0.8014     3.07
21       0.5333   0.5455       0.5217     0.7162     4.11
22       0.5085   0.4167       0.6522     0.6081     4.16
31       0.7211   0.6795       0.7681     0.7133     3.13
32       0.7534   0.7143       0.7971     0.7483     3.12
33       0.6154   0.5517       0.6957     0.5833     3.23
34       0.7465   0.7260       0.7681     0.7483     3.13
41       0.5799   0.4949       0.7000     0.5137     3.79
42       0.6531   0.6154       0.6957     0.6731     3.25
43       0.5600   0.5185       0.6087     0.5849     3.89
45       0.6829   0.5957       0.8000     0.6364     4.00
51       0.6928   0.6386       0.7571     0.6736     3.80
52       0.7051   0.6395       0.7857     0.6806     3.83
53       0.6761   0.6667       0.6857     0.6806     3.94
54       0.6803   0.6494       0.7143     0.6713     4.03
61       0.5714   0.5385       0.6087     0.5962     3.25
62       0.5424   0.4444       0.6957     0.4906     3.91
63       0.5972   0.5811       0.6143     0.6027     3.90
64       0.6621   0.6400       0.6857     0.6644     3.88
66       0.6627   0.5729       0.7857     0.6138     3.92
67       0.6267   0.5875       0.6714     0.6164     3.79
68       0.6871   0.6022       0.8000     0.6507     4.01
72       0.5256   0.4767       0.5857     0.4966     62.07
73       0.5731   0.4851       0.7000     0.5034     28.14
