
Variant-level average across 5 folds - Epoch 33
Overall Results:
Macro-F1: 0.5429
Macro-Precision: 0.5471
Macro-Recall: 0.5488
Accuracy: 0.5467

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6016   0.7115       0.5211     0.6475     3.02
2        0.4118   0.3158       0.5915     0.4313     3.00
3        0.6705   0.5686       0.8169     0.7397     3.05
4        0.5873   0.6727       0.5211     0.7626     3.11
5        0.3308   0.3548       0.3099     0.5936     3.83
6        0.4883   0.3688       0.7222     0.5134     3.11
7        0.6180   0.5140       0.7746     0.6895     3.88
8        0.1130   0.0943       0.1408     0.2896     3.91
9        0.3830   0.3077       0.5070     0.4751     3.12
10       0.3929   0.5366       0.3099     0.6923     3.84
11       0.5650   0.4717       0.7042     0.6516     3.90
12       0.4348   0.3889       0.4930     0.3810     3.89
13       0.4878   0.4301       0.5634     0.6199     3.13
14       0.6519   0.5364       0.8310     0.7149     3.88
15       0.6667   0.5197       0.9296     0.7014     3.05
16       0.4474   0.4198       0.4789     0.4247     3.03
17       0.6341   0.7500       0.5493     0.6918     3.10
18       0.4805   0.4458       0.5211     0.4521     3.07
21       0.6087   0.6087       0.6087     0.7568     4.11
22       0.5000   0.3902       0.6957     0.5676     4.16
31       0.7013   0.6353       0.7826     0.6783     3.13
32       0.8874   0.8171       0.9710     0.8811     3.12
33       0.1622   0.2143       0.1304     0.3542     3.23
34       0.5546   0.6600       0.4783     0.6294     3.13
41       0.2424   0.2581       0.2286     0.3151     3.79
42       0.1600   0.1481       0.1739     0.1923     3.25
43       0.2400   0.2222       0.2609     0.2830     3.89
45       0.6339   0.5133       0.8286     0.5315     4.00
51       0.4551   0.3918       0.5429     0.3681     3.80
52       0.7927   0.6915       0.9286     0.7639     3.83
53       0.3827   0.3370       0.4429     0.3056     3.94
54       0.6571   0.6571       0.6571     0.6643     4.03
61       0.3158   0.4000       0.2609     0.5000     3.25
62       0.7000   0.5676       0.9130     0.6604     3.91
63       0.3137   0.2892       0.3429     0.2808     3.90
64       0.7712   0.7108       0.8429     0.7603     3.88
66       0.4607   0.3796       0.5857     0.3379     3.92
67       0.4561   0.3861       0.5571     0.3630     3.79
68       0.5621   0.5181       0.6143     0.5411     4.01
72       0.0139   0.0135       0.0143     0.0340     62.07
73       0.5185   0.5385       0.5000     0.5578     28.14
