
Sample-level average across 5 folds - Epoch 23
Overall Results:
Macro-F1: 0.7021
Macro-Precision: 0.7037
Macro-Recall: 0.7009
Accuracy: 0.7144

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7910   0.8413       0.7465     0.7986     3.02
2        0.6715   0.6970       0.6479     0.7867     3.00
3        0.7310   0.7162       0.7465     0.8219     3.05
4        0.7068   0.7581       0.6620     0.8219     3.11
5        0.5714   0.5797       0.5634     0.7260     3.83
6        0.6815   0.7302       0.6389     0.8080     3.11
7        0.5714   0.5797       0.5634     0.7260     3.88
8        0.5926   0.6250       0.5634     0.7511     3.91
9        0.7361   0.7260       0.7465     0.8281     3.12
10       0.6277   0.6515       0.6056     0.7692     3.84
11       0.6144   0.5732       0.6620     0.7330     3.90
12       0.6500   0.7959       0.5493     0.7143     3.89
13       0.7746   0.7746       0.7746     0.8552     3.13
14       0.6711   0.6410       0.7042     0.7783     3.88
15       0.7448   0.7297       0.7606     0.8326     3.05
16       0.7031   0.7895       0.6338     0.7397     3.03
17       0.7481   0.8167       0.6901     0.7740     3.10
18       0.7669   0.8226       0.7183     0.7877     3.07
21       0.3529   0.5455       0.2609     0.7027     4.11
22       0.4681   0.4583       0.4783     0.6622     4.16
31       0.7442   0.8000       0.6957     0.7692     3.13
32       0.7068   0.7344       0.6812     0.7273     3.12
33       0.5588   0.5672       0.5507     0.5833     3.23
34       0.7692   0.8197       0.7246     0.7902     3.13
41       0.5342   0.5132       0.5571     0.5342     3.79
42       0.6512   0.7000       0.6087     0.7115     3.25
43       0.5818   0.5000       0.6957     0.5660     3.89
45       0.5217   0.5294       0.5143     0.5385     4.00
51       0.6901   0.6806       0.7000     0.6944     3.80
52       0.7164   0.7500       0.6857     0.7361     3.83
53       0.6471   0.6667       0.6286     0.6667     3.94
54       0.6809   0.6761       0.6857     0.6853     4.03
61       0.4444   0.6154       0.3478     0.6154     3.25
62       0.4583   0.4400       0.4783     0.5094     3.91
63       0.6131   0.6269       0.6000     0.6370     3.90
64       0.6165   0.6508       0.5857     0.6507     3.88
66       0.6316   0.5854       0.6857     0.6138     3.92
67       0.5547   0.5672       0.5429     0.5822     3.79
68       0.5532   0.5493       0.5571     0.5685     4.01
72       0.4218   0.4026       0.4429     0.4218     62.07
73       0.4658   0.4474       0.4857     0.4694     28.14
