
Variant-level average across 5 folds - Epoch 45
Overall Results:
Macro-F1: 0.6295
Macro-Precision: 0.6292
Macro-Recall: 0.6326
Accuracy: 0.6367

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8489   0.8676       0.8310     0.8489     3.02
2        0.7000   0.6292       0.7887     0.7725     3.00
3        0.7871   0.7262       0.8592     0.8493     3.05
4        0.7391   0.7612       0.7183     0.8356     3.11
5        0.3742   0.3452       0.4085     0.5571     3.83
6        0.6545   0.5806       0.7500     0.7455     3.11
7        0.4941   0.4242       0.5915     0.6073     3.88
8        0.2353   0.2195       0.2535     0.4706     3.91
9        0.6282   0.5765       0.6901     0.7376     3.12
10       0.5620   0.6800       0.4789     0.7602     3.84
11       0.6022   0.4870       0.7887     0.6652     3.90
12       0.3840   0.4444       0.3380     0.4762     3.89
13       0.7626   0.7794       0.7465     0.8507     3.13
14       0.4713   0.3981       0.5775     0.5837     3.88
15       0.7871   0.7262       0.8592     0.8507     3.05
16       0.7023   0.7667       0.6479     0.7329     3.03
17       0.8201   0.8382       0.8028     0.8288     3.10
18       0.6812   0.7015       0.6620     0.6986     3.07
21       0.5405   0.7143       0.4348     0.7703     4.11
22       0.2333   0.1892       0.3043     0.3784     4.16
31       0.8000   0.7887       0.8116     0.8042     3.13
32       0.8392   0.8108       0.8696     0.8392     3.12
33       0.2424   0.2540       0.2319     0.3056     3.23
34       0.7077   0.7541       0.6667     0.7343     3.13
41       0.3067   0.2875       0.3286     0.2877     3.79
42       0.1633   0.1538       0.1739     0.2115     3.25
43       0.3529   0.3214       0.3913     0.3774     3.89
45       0.5113   0.5397       0.4857     0.5455     4.00
51       0.5750   0.5111       0.6571     0.5278     3.80
52       0.7051   0.6395       0.7857     0.6806     3.83
53       0.6133   0.5750       0.6571     0.5972     3.94
54       0.7552   0.7397       0.7714     0.7552     4.03
61       0.3902   0.4444       0.3478     0.5192     3.25
62       0.4364   0.3750       0.5217     0.4151     3.91
63       0.5860   0.5287       0.6571     0.5548     3.90
64       0.6377   0.6471       0.6286     0.6575     3.88
66       0.5476   0.4694       0.6571     0.4759     3.92
67       0.5366   0.4681       0.6286     0.4795     3.79
68       0.6000   0.5100       0.7286     0.5342     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5303   0.5645       0.5000     0.5782     28.14
