
Sample-level average across 5 folds - Epoch 48
Overall Results:
Macro-F1: 0.7121
Macro-Precision: 0.7124
Macro-Recall: 0.7118
Accuracy: 0.7225

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7794   0.8154       0.7465     0.7842     3.02
2        0.7067   0.6709       0.7465     0.7915     3.00
3        0.7417   0.7000       0.7887     0.8219     3.05
4        0.7259   0.7656       0.6901     0.8311     3.11
5        0.5957   0.6000       0.5915     0.7397     3.83
6        0.6806   0.6806       0.6806     0.7946     3.11
7        0.5694   0.5616       0.5775     0.7169     3.88
8        0.6525   0.6571       0.6479     0.7783     3.91
9        0.7347   0.7105       0.7606     0.8235     3.12
10       0.6286   0.6377       0.6197     0.7647     3.84
11       0.6144   0.5732       0.6620     0.7330     3.90
12       0.5739   0.7500       0.4648     0.6667     3.89
13       0.7347   0.7105       0.7606     0.8235     3.13
14       0.6623   0.6145       0.7183     0.7647     3.88
15       0.7568   0.7273       0.7887     0.8371     3.05
16       0.7302   0.8364       0.6479     0.7671     3.03
17       0.7576   0.8197       0.7042     0.7808     3.10
18       0.8143   0.8261       0.8028     0.8219     3.07
21       0.4000   0.5833       0.3043     0.7162     4.11
22       0.4583   0.4400       0.4783     0.6486     4.16
31       0.7442   0.8000       0.6957     0.7692     3.13
32       0.7820   0.8125       0.7536     0.7972     3.12
33       0.5693   0.5735       0.5652     0.5903     3.23
34       0.7591   0.7647       0.7536     0.7692     3.13
41       0.5241   0.5067       0.5429     0.5274     3.79
42       0.6047   0.6500       0.5652     0.6731     3.25
43       0.6531   0.6154       0.6957     0.6792     3.89
45       0.5455   0.5806       0.5143     0.5804     4.00
51       0.7310   0.7067       0.7571     0.7292     3.80
52       0.7704   0.8000       0.7429     0.7847     3.83
53       0.6815   0.7077       0.6571     0.7014     3.94
54       0.7123   0.6842       0.7429     0.7063     4.03
61       0.5116   0.5500       0.4783     0.5962     3.25
62       0.3913   0.3913       0.3913     0.4717     3.91
63       0.6074   0.6308       0.5857     0.6370     3.90
64       0.7260   0.6974       0.7571     0.7260     3.88
66       0.5874   0.5753       0.6000     0.5931     3.92
67       0.6250   0.6081       0.6429     0.6301     3.79
68       0.5833   0.5676       0.6000     0.5890     4.01
72       0.4667   0.4375       0.5000     0.4558     62.07
73       0.4286   0.4286       0.4286     0.4558     28.14
