
Variant-level average across 5 folds - Epoch 7
Overall Results:
Macro-F1: 0.6089
Macro-Precision: 0.6084
Macro-Recall: 0.6099
Accuracy: 0.6197

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7612   0.8095       0.7183     0.7698     3.02
2        0.6627   0.5789       0.7746     0.7346     3.00
3        0.7231   0.7966       0.6620     0.8356     3.05
4        0.6099   0.6143       0.6056     0.7489     3.11
5        0.4138   0.4054       0.4225     0.6119     3.83
6        0.5294   0.4592       0.6250     0.6429     3.11
7        0.4211   0.3951       0.4507     0.5982     3.88
8        0.1538   0.1412       0.1690     0.4027     3.91
9        0.5578   0.5395       0.5775     0.7059     3.12
10       0.6016   0.7115       0.5211     0.7783     3.84
11       0.5590   0.5000       0.6338     0.6787     3.90
12       0.3200   0.3704       0.2817     0.4218     3.89
13       0.6912   0.7231       0.6620     0.8100     3.13
14       0.4966   0.4744       0.5211     0.6606     3.88
15       0.7712   0.7195       0.8310     0.8416     3.05
16       0.7007   0.7273       0.6761     0.7192     3.03
17       0.6772   0.7679       0.6056     0.7192     3.10
18       0.6957   0.7164       0.6761     0.7123     3.07
21       0.5946   0.7857       0.4783     0.7973     4.11
22       0.2623   0.2105       0.3478     0.3919     4.16
31       0.7634   0.8065       0.7246     0.7832     3.13
32       0.8085   0.7917       0.8261     0.8112     3.12
33       0.2879   0.3016       0.2754     0.3472     3.23
34       0.5984   0.6552       0.5507     0.6434     3.13
41       0.3172   0.3067       0.3286     0.3219     3.79
42       0.2609   0.2609       0.2609     0.3462     3.25
43       0.2308   0.2069       0.2609     0.2453     3.89
45       0.5669   0.6316       0.5143     0.6154     4.00
51       0.5839   0.5165       0.6714     0.5347     3.80
52       0.6812   0.6912       0.6714     0.6944     3.83
53       0.5772   0.5443       0.6143     0.5625     3.94
54       0.7338   0.7391       0.7286     0.7413     4.03
61       0.4444   0.4545       0.4348     0.5192     3.25
62       0.5424   0.4444       0.6957     0.4906     3.91
63       0.5677   0.5176       0.6286     0.5411     3.90
64       0.7117   0.6237       0.8286     0.6781     3.88
66       0.4189   0.3974       0.4429     0.4069     3.92
67       0.4161   0.3924       0.4429     0.4041     3.79
68       0.6250   0.5189       0.7857     0.5479     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.4068   0.5000       0.3429     0.5238     28.14
