
Sample-level average across 5 folds - Epoch 18
Overall Results:
Macro-F1: 0.7126
Macro-Precision: 0.7153
Macro-Recall: 0.7109
Accuracy: 0.7253

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7752   0.8621       0.7042     0.7914     3.02
2        0.6763   0.6912       0.6620     0.7867     3.00
3        0.7042   0.7042       0.7042     0.8082     3.05
4        0.7353   0.7692       0.7042     0.8356     3.11
5        0.6853   0.6806       0.6901     0.7945     3.83
6        0.6912   0.7344       0.6528     0.8125     3.11
7        0.5693   0.5909       0.5493     0.7306     3.88
8        0.5649   0.6167       0.5211     0.7421     3.91
9        0.6815   0.7188       0.6479     0.8054     3.12
10       0.6667   0.7031       0.6338     0.7964     3.84
11       0.6043   0.6176       0.5915     0.7511     3.90
12       0.5455   0.7692       0.4225     0.6599     3.89
13       0.7313   0.7778       0.6901     0.8371     3.13
14       0.6667   0.6447       0.6901     0.7783     3.88
15       0.7206   0.7538       0.6901     0.8281     3.05
16       0.7313   0.7778       0.6901     0.7534     3.03
17       0.6984   0.8000       0.6197     0.7397     3.10
18       0.7368   0.7903       0.6901     0.7603     3.07
21       0.5854   0.6667       0.5217     0.7703     4.11
22       0.4082   0.3846       0.4348     0.6081     4.16
31       0.7500   0.8136       0.6957     0.7762     3.13
32       0.7176   0.7581       0.6812     0.7413     3.12
33       0.5581   0.6000       0.5217     0.6042     3.23
34       0.7769   0.9038       0.6812     0.8112     3.13
41       0.4966   0.4800       0.5143     0.5000     3.79
42       0.5263   0.6667       0.4348     0.6538     3.25
43       0.5556   0.4839       0.6522     0.5472     3.89
45       0.5850   0.5584       0.6143     0.5734     4.00
51       0.7518   0.7465       0.7571     0.7569     3.80
52       0.7338   0.7391       0.7286     0.7431     3.83
53       0.7000   0.7000       0.7000     0.7083     3.94
54       0.7552   0.7397       0.7714     0.7552     4.03
61       0.5238   0.5789       0.4783     0.6154     3.25
62       0.4490   0.4231       0.4783     0.4906     3.91
63       0.6667   0.6765       0.6571     0.6849     3.90
64       0.6767   0.7143       0.6429     0.7055     3.88
66       0.6806   0.6622       0.7000     0.6828     3.92
67       0.6763   0.6812       0.6714     0.6918     3.79
68       0.6267   0.5875       0.6714     0.6164     4.01
72       0.3521   0.3472       0.3571     0.3741     62.07
73       0.4768   0.4444       0.5143     0.4626     28.14
