
Variant-level average across 5 folds - Epoch 41
Overall Results:
Macro-F1: 0.6351
Macro-Precision: 0.6344
Macro-Recall: 0.6366
Accuracy: 0.6447

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7786   0.8500       0.7183     0.7914     3.02
2        0.8028   0.8028       0.8028     0.8673     3.00
3        0.6971   0.5865       0.8592     0.7580     3.05
4        0.6316   0.6774       0.5915     0.7763     3.11
5        0.5067   0.4810       0.5352     0.6621     3.83
6        0.7285   0.6962       0.7639     0.8170     3.11
7        0.4819   0.4211       0.5634     0.6073     3.88
8        0.2590   0.2647       0.2535     0.5339     3.91
9        0.6861   0.7121       0.6620     0.8054     3.12
10       0.5667   0.6939       0.4789     0.7647     3.84
11       0.6265   0.5474       0.7324     0.7195     3.90
12       0.4828   0.6222       0.3944     0.5918     3.89
13       0.5977   0.5049       0.7324     0.6833     3.13
14       0.5466   0.4889       0.6197     0.6697     3.88
15       0.6203   0.5632       0.6901     0.7285     3.05
16       0.7910   0.8413       0.7465     0.8082     3.03
17       0.7852   0.8281       0.7465     0.8014     3.10
18       0.7846   0.8644       0.7183     0.8082     3.07
21       0.5143   0.7500       0.3913     0.7703     4.11
22       0.1071   0.0909       0.1304     0.3243     4.16
31       0.7432   0.6962       0.7971     0.7343     3.13
32       0.7287   0.7833       0.6812     0.7552     3.12
33       0.2901   0.3065       0.2754     0.3542     3.23
34       0.7068   0.7344       0.6812     0.7273     3.13
41       0.2500   0.2432       0.2571     0.2603     3.79
42       0.2400   0.2222       0.2609     0.2692     3.25
43       0.3529   0.3214       0.3913     0.3774     3.89
45       0.4000   0.6000       0.3000     0.5594     4.00
51       0.6347   0.5464       0.7571     0.5764     3.80
52       0.6615   0.7167       0.6143     0.6944     3.83
53       0.6429   0.5510       0.7714     0.5833     3.94
54       0.7556   0.7846       0.7286     0.7692     4.03
61       0.4444   0.4545       0.4348     0.5192     3.25
62       0.3019   0.2667       0.3478     0.3019     3.91
63       0.5814   0.4902       0.7143     0.5068     3.90
64       0.7333   0.6875       0.7857     0.7260     3.88
66       0.5352   0.5278       0.5429     0.5448     3.92
67       0.4968   0.4483       0.5571     0.4589     3.79
68       0.6391   0.5455       0.7714     0.5822     4.01
72       0.0135   0.0128       0.0143     0.0068     62.07
73       0.4688   0.5172       0.4286     0.5374     28.14
