
Sample-level average across 5 folds - Epoch 19
Overall Results:
Macro-F1: 0.6819
Macro-Precision: 0.6887
Macro-Recall: 0.6789
Accuracy: 0.7016

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7299   0.7937       0.6757     0.7643     3.01
2        0.6853   0.7101       0.6622     0.8125     3.01
3        0.6522   0.7031       0.6081     0.8000     3.02
4        0.7368   0.8305       0.6622     0.8542     3.07
5        0.6000   0.6364       0.5676     0.7667     3.81
6        0.5946   0.5946       0.5946     0.7500     3.10
7        0.5616   0.5694       0.5541     0.7333     3.85
8        0.6165   0.6949       0.5541     0.7875     3.90
9        0.6763   0.7231       0.6351     0.8125     3.08
10       0.5957   0.6269       0.5676     0.7625     3.81
11       0.5823   0.5476       0.6216     0.7250     3.89
12       0.5172   0.7143       0.4054     0.6433     3.85
13       0.7313   0.8167       0.6622     0.8500     3.10
14       0.6622   0.6622       0.6622     0.7917     3.85
15       0.6711   0.6667       0.6757     0.7958     3.02
16       0.7007   0.7619       0.6486     0.7389     3.00
17       0.6720   0.8235       0.5676     0.7389     3.08
18       0.7576   0.8621       0.6757     0.7962     3.04
21       0.5714   0.8333       0.4348     0.8026     4.08
22       0.4103   0.5000       0.3478     0.6974     4.13
31       0.7606   0.7714       0.7500     0.7778     3.08
32       0.7194   0.7463       0.6944     0.7451     3.07
33       0.5042   0.6383       0.4167     0.6144     3.19
34       0.6667   0.7778       0.5833     0.7255     3.08
41       0.5217   0.5455       0.5000     0.5686     3.75
42       0.4706   0.7273       0.3478     0.6604     3.23
43       0.6531   0.6154       0.6957     0.6792     3.89
44       0.5000   0.5000       0.5000     0.5294     1.95
45       0.6000   0.6176       0.5833     0.6340     3.95
51       0.6618   0.7031       0.6250     0.6993     3.76
52       0.6720   0.7925       0.5833     0.7320     3.80
53       0.6349   0.7407       0.5556     0.6993     3.90
54       0.6406   0.7321       0.5694     0.6993     3.98
61       0.4091   0.4286       0.3913     0.5094     3.23
62       0.4167   0.4000       0.4348     0.4717     3.91
63       0.5507   0.5758       0.5278     0.5948     3.86
64       0.6525   0.6667       0.6389     0.6797     3.84
65       0.5441   0.5781       0.5139     0.5948     1.95
66       0.6184   0.5875       0.6528     0.6209     3.88
67       0.6567   0.7097       0.6111     0.6993     3.75
68       0.6522   0.6818       0.6250     0.6863     3.96
72       0.2992   0.3455       0.2639     0.4183     62.00
73       0.3704   0.3968       0.3472     0.4444     28.07
74       0.3741   0.3881       0.3611     0.4314     89.42
81       0.4961   0.5614       0.4444     0.5752     1.97
82       0.5584   0.5244       0.5972     0.5556     2.86
83       0.4500   0.5294       0.3913     0.5849     4.17
84       0.3810   0.4211       0.3478     0.5094     4.70
