
Variant-level average across 5 folds - Epoch 25
Overall Results:
Macro-F1: 0.6071
Macro-Precision: 0.6082
Macro-Recall: 0.6065
Accuracy: 0.6255

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7273   0.8276       0.6486     0.7707     3.01
2        0.6759   0.6901       0.6622     0.8042     3.01
3        0.6466   0.7288       0.5811     0.8042     3.02
4        0.7273   0.8276       0.6486     0.8500     3.07
5        0.5185   0.4773       0.5676     0.6750     3.81
6        0.6853   0.7101       0.6622     0.8125     3.10
7        0.5621   0.5443       0.5811     0.7208     3.85
8        0.1778   0.1509       0.2162     0.3833     3.90
9        0.6069   0.6197       0.5946     0.7625     3.08
10       0.6395   0.6438       0.6351     0.7792     3.81
11       0.4744   0.4512       0.5000     0.6583     3.89
12       0.4786   0.6512       0.3784     0.6115     3.85
13       0.6714   0.7121       0.6351     0.8083     3.10
14       0.5693   0.6190       0.5270     0.7542     3.85
15       0.6718   0.7719       0.5946     0.8208     3.02
16       0.8175   0.8889       0.7568     0.8408     3.00
17       0.8000   0.8485       0.7568     0.8217     3.08
18       0.8175   0.8889       0.7568     0.8408     3.04
21       0.2051   0.2500       0.1739     0.5921     4.08
22       0.4444   0.4545       0.4348     0.6711     4.13
31       0.6230   0.7600       0.5278     0.6993     3.08
32       0.6357   0.7193       0.5694     0.6928     3.07
33       0.4219   0.4821       0.3750     0.5163     3.19
34       0.6923   0.7759       0.6250     0.7386     3.08
41       0.5467   0.5256       0.5694     0.5556     3.75
42       0.1633   0.1538       0.1739     0.2264     3.23
43       0.4898   0.4615       0.5217     0.5283     3.89
44       0.5210   0.6596       0.4306     0.6275     1.95
45       0.2406   0.2623       0.2222     0.3399     3.95
51       0.6490   0.6203       0.6806     0.6536     3.76
52       0.7020   0.6709       0.7361     0.7059     3.80
53       0.6087   0.6364       0.5833     0.6471     3.90
54       0.6812   0.7121       0.6528     0.7124     3.98
61       0.3590   0.4375       0.3043     0.5283     3.23
62       0.5660   0.5000       0.6522     0.5660     3.91
63       0.5417   0.5417       0.5417     0.5686     3.86
64       0.6957   0.6292       0.7778     0.6797     3.84
65       0.2973   0.2895       0.3056     0.3203     1.95
66       0.6194   0.5783       0.6667     0.6144     3.88
67       0.5517   0.5479       0.5556     0.5752     3.75
68       0.4156   0.3902       0.4444     0.4118     3.96
72       0.3333   0.4167       0.2778     0.4771     62.00
73       0.0645   0.0602       0.0694     0.0523     28.07
74       0.0000   0.0000       0.0000     0.0000     89.42
81       0.2767   0.2529       0.3056     0.2484     1.97
82       0.0940   0.0909       0.0972     0.1176     2.86
83       0.4167   0.4000       0.4348     0.4717     4.17
84       0.3913   0.3913       0.3913     0.4717     4.70
