
Sample-level average across 5 folds - Epoch 10
Overall Results:
Macro-F1: 0.4745
Macro-Precision: 0.4997
Macro-Recall: 0.4998
Accuracy: 0.5558

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.2574   0.4333       0.1831     0.4604     3.02
2        0.2679   0.3659       0.2113     0.6114     3.00
3        0.2881   0.3617       0.2394     0.6164     3.05
4        0.2564   0.3261       0.2113     0.6027     3.11
5        0.2353   0.2917       0.1972     0.5845     3.83
6        0.2832   0.3902       0.2222     0.6384     3.11
7        0.2667   0.3265       0.2254     0.5982     3.88
8        0.1947   0.2619       0.1549     0.5882     3.91
9        0.1864   0.2340       0.1549     0.5656     3.12
10       0.2752   0.3947       0.2113     0.6425     3.84
11       0.2857   0.3902       0.2254     0.6380     3.90
12       0.2857   0.5185       0.1972     0.5238     3.89
13       0.2951   0.3529       0.2535     0.6109     3.13
14       0.1818   0.2564       0.1408     0.5928     3.88
15       0.1667   0.2432       0.1268     0.5928     3.05
16       0.1458   0.2800       0.0986     0.4384     3.03
17       0.2041   0.3704       0.1408     0.4658     3.10
18       0.2963   0.4324       0.2254     0.4795     3.07
21       0.1905   0.2105       0.1739     0.5405     4.11
22       0.3810   0.4211       0.3478     0.6486     4.16
31       0.2268   0.3929       0.1594     0.4755     3.13
32       0.2766   0.5200       0.1884     0.5245     3.12
33       0.3364   0.4737       0.2609     0.5069     3.23
34       0.3400   0.5484       0.2464     0.5385     3.13
41       0.1839   0.4706       0.1143     0.5137     3.79
42       0.2941   0.4545       0.2174     0.5385     3.25
43       0.4118   0.6364       0.3043     0.6226     3.89
45       0.3238   0.4857       0.2429     0.5035     4.00
51       0.3226   0.6522       0.2143     0.5625     3.80
52       0.3654   0.5588       0.2714     0.5417     3.83
53       0.3019   0.4444       0.2286     0.4861     3.94
54       0.3265   0.5714       0.2286     0.5385     4.03
61       0.3750   0.6667       0.2609     0.6154     3.25
62       0.2778   0.3846       0.2174     0.5094     3.91
63       0.1957   0.4091       0.1286     0.4932     3.90
64       0.2857   0.6190       0.1857     0.5548     3.88
66       0.3826   0.4889       0.3143     0.5103     3.92
67       0.2600   0.4333       0.1857     0.4932     3.79
68       0.2366   0.4783       0.1571     0.5137     4.01
72       0.2083   0.3846       0.1429     0.4830     62.07
73       0.3011   0.6087       0.2000     0.5578     28.14
