
Variant-level average across 5 folds - Epoch 25
Overall Results:
Macro-F1: 0.4534
Macro-Precision: 0.4834
Macro-Recall: 0.4904
Accuracy: 0.5530

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.0000   0.0000       0.0000     0.4892     3.02
2        0.0000   0.0000       0.0000     0.6635     3.00
3        0.4352   0.3241       0.6620     0.4429     3.05
4        0.0000   0.0000       0.0000     0.6758     3.11
5        0.0000   0.0000       0.0000     0.6758     3.83
6        0.8000   1.0000       0.6667     0.8929     3.11
7        0.9559   1.0000       0.9155     0.9726     3.88
8        0.0000   0.0000       0.0000     0.6787     3.91
9        0.0000   0.0000       0.0000     0.6787     3.12
10       0.0000   0.0000       0.0000     0.6787     3.84
11       0.0000   0.0000       0.0000     0.6787     3.90
12       0.9784   1.0000       0.9577     0.9796     3.89
13       0.0000   0.0000       0.0000     0.2217     3.13
14       0.9323   1.0000       0.8732     0.9593     3.88
15       0.0000   0.0000       0.0000     0.2081     3.05
16       0.0000   0.0000       0.0000     0.5137     3.03
17       0.0000   0.0000       0.0000     0.5137     3.10
18       0.0000   0.0000       0.0000     0.5137     3.07
21       0.0000   0.0000       0.0000     0.6892     4.11
22       0.0000   0.0000       0.0000     0.6892     4.16
31       0.5876   0.4815       0.7536     0.4895     3.13
32       0.0000   0.0000       0.0000     0.5175     3.12
33       0.0000   0.0000       0.0000     0.5208     3.23
34       0.0000   0.0000       0.0000     0.5175     3.13
41       0.0000   0.0000       0.0000     0.5205     3.79
42       0.0000   0.0000       0.0000     0.1346     3.25
43       0.0000   0.0000       0.0000     0.5660     3.89
45       0.0000   0.0000       0.0000     0.5105     4.00
51       0.0000   0.0000       0.0000     0.0347     3.80
52       0.0000   0.0000       0.0000     0.5139     3.83
53       0.0000   0.0000       0.0000     0.0694     3.94
54       0.0000   0.0000       0.0000     0.5105     4.03
61       0.0000   0.0000       0.0000     0.5577     3.25
62       0.0000   0.0000       0.0000     0.5660     3.91
63       0.0000   0.0000       0.0000     0.0274     3.90
64       0.9394   1.0000       0.8857     0.9452     3.88
66       0.0000   0.0000       0.0000     0.5172     3.92
67       0.0000   0.0000       0.0000     0.0000     3.79
68       0.0000   0.0000       0.0000     0.5205     4.01
72       0.0000   0.0000       0.0000     0.5238     62.07
73       0.0000   0.0000       0.0000     0.5238     28.14
