
Sample-level average across 5 folds - Epoch 39
Overall Results:
Macro-F1: 0.6017
Macro-Precision: 0.6059
Macro-Recall: 0.6006
Accuracy: 0.6266

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.5970   0.6897       0.5263     0.6516     3.21
2        0.4658   0.4857       0.4474     0.6667     3.20
3        0.4615   0.4925       0.4342     0.6844     3.16
4        0.3676   0.4167       0.3289     0.6475     3.18
5        0.4706   0.5333       0.4211     0.7049     3.84
6        0.4177   0.4125       0.4231     0.6378     3.21
7        0.4414   0.4638       0.4211     0.6680     3.91
8        0.4521   0.4714       0.4342     0.6721     4.03
9        0.4167   0.4412       0.3947     0.6557     3.16
10       0.4265   0.4833       0.3816     0.6803     3.85
11       0.4691   0.4419       0.5000     0.6475     4.00
12       0.4626   0.5000       0.4304     0.5325     4.43
13       0.4314   0.4286       0.4342     0.6434     3.20
14       0.5455   0.5385       0.5526     0.7131     3.95
15       0.5161   0.5063       0.5263     0.6926     3.19
16       0.5942   0.6613       0.5395     0.6500     3.19
17       0.5528   0.6667       0.4722     0.6284     3.01
18       0.4688   0.5769       0.3947     0.5750     3.19
21       0.4627   0.5636       0.3924     0.7061     4.11
22       0.5089   0.4778       0.5443     0.6598     4.22
31       0.5401   0.6066       0.4868     0.6038     3.21
32       0.5303   0.6250       0.4605     0.6076     3.29
33       0.5541   0.5616       0.5467     0.5849     3.44
34       0.5120   0.6531       0.4211     0.6164     3.21
41       0.5098   0.5270       0.4937     0.5536     3.46
42       0.5096   0.5128       0.5063     0.5444     3.44
43       0.4937   0.4937       0.4937     0.5322     3.73
45       0.5600   0.5915       0.5316     0.6095     3.66
51       0.5775   0.6508       0.5190     0.6450     3.46
52       0.6667   0.6625       0.6709     0.6864     3.53
53       0.4962   0.6111       0.4177     0.6036     3.61
54       0.5333   0.5634       0.5063     0.5833     3.74
61       0.4627   0.5636       0.3924     0.5740     3.43
62       0.4750   0.4691       0.4810     0.5088     3.75
63       0.5405   0.5797       0.5063     0.5976     4.01
64       0.5241   0.5758       0.4810     0.5917     4.00
65       0.6667   0.5000       1.0000     0.5000     1.00
66       0.5674   0.6452       0.5063     0.6391     4.12
67       0.4925   0.6000       0.4177     0.5952     3.79
68       0.6104   0.6267       0.5949     0.6450     3.64
72       0.3867   0.4085       0.3671     0.4620     62.04
73       0.4500   0.4444       0.4557     0.4854     28.00
83       0.5902   0.6000       0.5806     0.6622     4.46
84       0.5397   0.5312       0.5484     0.6081     4.47
