
Variant-level average across 5 folds - Epoch 37
Overall Results:
Macro-F1: 0.4856
Macro-Precision: 0.4856
Macro-Recall: 0.4858
Accuracy: 0.5102

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.5414   0.6316       0.4737     0.6065     3.21
2        0.4333   0.3750       0.5132     0.5641     3.20
3        0.6053   0.6053       0.6053     0.7541     3.16
4        0.3750   0.3300       0.4342     0.5492     3.18
5        0.2537   0.2931       0.2237     0.5902     3.84
6        0.3284   0.3929       0.2821     0.6457     3.21
7        0.4198   0.3953       0.4474     0.6148     3.91
8        0.0110   0.0094       0.0132     0.2623     4.03
9        0.5584   0.5513       0.5658     0.7213     3.16
10       0.5032   0.4937       0.5132     0.6844     3.85
11       0.1987   0.2000       0.1974     0.5041     4.00
12       0.4342   0.4521       0.4177     0.4911     4.43
13       0.3464   0.3010       0.4079     0.5205     3.20
14       0.4730   0.4861       0.4605     0.6803     3.95
15       0.3742   0.3671       0.3816     0.6025     3.19
16       0.6538   0.6375       0.6711     0.6625     3.19
17       0.5950   0.7347       0.5000     0.6689     3.01
18       0.5649   0.6727       0.4868     0.6438     3.19
21       0.1718   0.1667       0.1772     0.4490     4.11
22       0.1547   0.1373       0.1772     0.3730     4.22
31       0.5041   0.6596       0.4079     0.6164     3.21
32       0.3750   0.4615       0.3158     0.4937     3.29
33       0.3548   0.4490       0.2933     0.4969     3.44
34       0.5625   0.6923       0.4737     0.6478     3.21
41       0.2468   0.2533       0.2405     0.3095     3.46
42       0.4713   0.4744       0.4684     0.5089     3.44
43       0.3799   0.3400       0.4304     0.3509     3.73
45       0.1417   0.1875       0.1139     0.3550     3.66
51       0.3788   0.4717       0.3165     0.5148     3.46
52       0.3077   0.3117       0.3038     0.3609     3.53
53       0.6455   0.5035       0.8987     0.5385     3.61
54       0.3977   0.3608       0.4430     0.3690     3.74
61       0.3333   0.4878       0.2532     0.5266     3.43
62       0.1842   0.1918       0.1772     0.2749     3.75
63       0.3252   0.4545       0.2532     0.5089     4.01
64       0.3784   0.6562       0.2658     0.5917     4.00
65       0.0000   0.0000       0.0000     0.0000     1.00
66       0.6069   0.6667       0.5570     0.6627     4.12
67       0.3727   0.3659       0.3797     0.3988     3.79
68       0.2658   0.2658       0.2658     0.3136     3.64
72       0.0000   0.0000       0.0000     0.0000     62.04
73       0.0118   0.0110       0.0127     0.0175     28.00
83       0.7119   0.7500       0.6774     0.7703     4.46
84       0.5846   0.5588       0.6129     0.6351     4.47
