
Sample-level average across 5 folds - Epoch 2
Overall Results:
Macro-F1: 0.5854
Macro-Precision: 0.6515
Macro-Recall: 0.5962
Accuracy: 0.6586

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.4552   0.7174       0.3333     0.6247     2.76
2        0.3933   0.5784       0.2980     0.7174     2.74
3        0.3469   0.5312       0.2576     0.7117     2.74
4        0.4164   0.6226       0.3128     0.7353     2.74
5        0.3574   0.6420       0.2476     0.7321     3.52
6        0.4061   0.5776       0.3131     0.7255     2.76
7        0.3119   0.5750       0.2140     0.7145     3.57
8        0.2296   0.5849       0.1429     0.7139     3.64
9        0.3871   0.6061       0.2844     0.7290     2.73
10       0.3750   0.6064       0.2714     0.7286     3.53
11       0.3014   0.5867       0.2028     0.7194     3.62
12       0.2372   0.5441       0.1516     0.5458     3.69
13       0.3365   0.5048       0.2524     0.7014     2.76
14       0.2286   0.4923       0.1488     0.6971     3.58
15       0.4183   0.5926       0.3232     0.7335     2.76
16       0.4218   0.7532       0.2929     0.6328     2.77
17       0.3670   0.6622       0.2539     0.5957     2.76
18       0.3456   0.6351       0.2374     0.5889     2.79
21       0.5192   0.7043       0.4112     0.7253     3.36
22       0.5329   0.6496       0.4518     0.7138     3.54
31       0.4286   0.7200       0.3051     0.6150     2.95
32       0.4265   0.6988       0.3069     0.6031     3.03
33       0.3139   0.6140       0.2108     0.5854     3.26
34       0.4368   0.6786       0.3220     0.6070     2.95
41       0.4558   0.6589       0.3484     0.5915     2.96
42       0.5548   0.6935       0.4624     0.6397     2.68
43       0.3556   0.5714       0.2581     0.6214     3.35
45       0.5025   0.6433       0.4122     0.5984     3.11
51       0.4642   0.7714       0.3320     0.6230     2.96
52       0.5503   0.7761       0.4262     0.6573     3.00
53       0.5312   0.7286       0.4180     0.6371     3.10
54       0.5117   0.7050       0.4016     0.6215     3.21
61       0.4930   0.7143       0.3763     0.6240     2.68
62       0.2920   0.4648       0.2129     0.5822     3.36
63       0.4377   0.6187       0.3386     0.5907     3.36
64       0.4840   0.6490       0.3858     0.6130     3.36
65       0.0000   0.0000       0.0000     0.5000     1.00
66       0.4813   0.6667       0.3766     0.6073     3.47
67       0.4138   0.6875       0.2960     0.5970     3.21
68       0.5174   0.6624       0.4245     0.6128     3.11
72       0.1750   0.4565       0.1082     0.5629     61.32
73       0.3140   0.4646       0.2371     0.5563     27.55
83       0.1975   0.5714       0.1194     0.6429     3.49
84       0.3953   0.8947       0.2537     0.7143     3.48
