
Multi-Variant CV on CWE121_Stack_Based_Buffer_Overflow epoch 26
Overall Results:
Macro-F1: 0.6744
Macro-Precision: 0.6747
Macro-Recall: 0.6741
Accuracy: 0.6863

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8921   0.9118       0.8732     0.8921     3.02
2        0.7259   0.7656       0.6901     0.8246     3.00
3        0.7065   0.5752       0.9155     0.7534     3.05
4        0.6667   0.7636       0.5915     0.8082     3.11
5        0.4845   0.4333       0.5493     0.6210     3.83
6        0.8194   0.8194       0.8194     0.8839     3.11
7        0.3951   0.3516       0.4507     0.5525     3.88
8        0.3486   0.5000       0.2676     0.6787     3.91
9        0.6560   0.7593       0.5775     0.8054     3.12
10       0.6370   0.6719       0.6056     0.7783     3.84
11       0.6845   0.5517       0.9014     0.7330     3.90
12       0.6202   0.6897       0.5634     0.6667     3.89
13       0.6316   0.5926       0.6761     0.7466     3.13
14       0.4785   0.4239       0.5493     0.6154     3.88
15       0.5063   0.4598       0.5634     0.6471     3.05
16       0.7395   0.9167       0.6197     0.7877     3.03
17       0.8529   0.8923       0.8169     0.8630     3.10
18       0.7049   0.8431       0.6056     0.7534     3.07
21       0.6364   0.6667       0.6087     0.7838     4.11
22       0.7027   0.9286       0.5652     0.8514     4.16
31       0.8133   0.7531       0.8841     0.8042     3.13
32       0.5882   0.7000       0.5072     0.6573     3.12
33       0.2500   0.3256       0.2029     0.4167     3.23
34       0.6891   0.8200       0.5942     0.7413     3.13
41       0.3522   0.3146       0.4000     0.2945     3.79
42       0.3333   0.4615       0.2609     0.5385     3.25
43       0.4615   0.5625       0.3913     0.6038     3.89
45       0.7324   0.7222       0.7429     0.7343     4.00
51       0.6584   0.5824       0.7571     0.6181     3.80
52       0.5303   0.5645       0.5000     0.5694     3.83
53       0.5921   0.5488       0.6429     0.5694     3.94
54       0.7123   0.6842       0.7429     0.7063     4.03
61       0.5500   0.6471       0.4783     0.6538     3.25
62       0.3111   0.3182       0.3043     0.4151     3.91
63       0.5860   0.5287       0.6571     0.5548     3.90
64       0.8905   0.9104       0.8714     0.8973     3.88
66       0.7862   0.7600       0.8143     0.7862     3.92
67       0.6144   0.5663       0.6714     0.5959     3.79
68       0.8550   0.9180       0.8000     0.8699     4.01
72       0.0000   0.0000       0.0000     0.0680     62.07
73       0.3030   0.5172       0.2143     0.5306     28.14
