
Multi-Variant CV on CWE122_Heap_Based_Buffer_Overflow epoch 16
Overall Results:
Macro-F1: 0.5347
Macro-Precision: 0.5354
Macro-Recall: 0.5346
Accuracy: 0.5584

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6014   0.6418       0.5658     0.6323     3.21
2        0.2529   0.2245       0.2895     0.4444     3.20
3        0.6667   0.6386       0.6974     0.7828     3.16
4        0.2428   0.2165       0.2763     0.4631     3.18
5        0.4058   0.4516       0.3684     0.6639     3.84
6        0.3378   0.3571       0.3205     0.6142     3.21
7        0.4748   0.5238       0.4342     0.7008     3.91
8        0.0976   0.1277       0.0789     0.5451     4.03
9        0.4317   0.4762       0.3947     0.6762     3.16
10       0.5503   0.5616       0.5395     0.7254     3.85
11       0.2774   0.3115       0.2500     0.5943     4.00
12       0.4638   0.5424       0.4051     0.5621     4.43
13       0.4118   0.3281       0.5526     0.5082     3.20
14       0.4341   0.5283       0.3684     0.7008     3.95
15       0.4417   0.4138       0.4737     0.6270     3.19
16       0.6864   0.6237       0.7632     0.6687     3.19
17       0.5280   0.6226       0.4583     0.6014     3.01
18       0.5970   0.6897       0.5263     0.6625     3.19
21       0.3436   0.3333       0.3544     0.5633     4.11
22       0.2016   0.2600       0.1646     0.5779     4.22
31       0.4923   0.5926       0.4211     0.5849     3.21
32       0.4511   0.5263       0.3947     0.5380     3.29
33       0.4848   0.5614       0.4267     0.5723     3.44
34       0.5468   0.6032       0.5000     0.6038     3.21
41       0.3057   0.3077       0.3038     0.3512     3.46
42       0.6327   0.5299       0.7848     0.5740     3.44
43       0.5619   0.4504       0.7468     0.4620     3.73
45       0.2029   0.2373       0.1772     0.3491     3.66
51       0.3937   0.5208       0.3165     0.5444     3.46
52       0.3590   0.3636       0.3544     0.4083     3.53
53       0.7204   0.5758       0.9620     0.6509     3.61
54       0.5385   0.4757       0.6203     0.5000     3.74
61       0.3089   0.4318       0.2405     0.4970     3.43
62       0.3067   0.2976       0.3165     0.3392     3.75
63       0.1724   0.2703       0.1266     0.4320     4.01
64       0.3551   0.6786       0.2405     0.5917     4.00
65       0.0000   0.0000       0.0000     0.5000     1.00
66       0.4915   0.7436       0.3671     0.6450     4.12
67       0.4474   0.4658       0.4304     0.5000     3.79
68       0.5294   0.4945       0.5696     0.5266     3.64
72       0.1168   0.1379       0.1013     0.2924     62.04
73       0.1963   0.1905       0.2025     0.2339     28.00
83       0.6316   0.5333       0.7742     0.6216     4.46
84       0.6027   0.5238       0.7097     0.6081     4.47
