
Multi-Variant CV on CWE190_Integer_Overflow epoch 39
Overall Results:
Macro-F1: 0.8365
Macro-Precision: 0.8348
Macro-Recall: 0.8393
Accuracy: 0.8395

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.9846   0.9697       1.0000     0.9861     2.03
2        0.9697   0.9412       1.0000     0.9815     2.06
3        0.9524   0.9677       0.9375     0.9732     2.05
4        0.9677   0.9375       1.0000     0.9793     2.08
5        0.7961   0.6833       0.9535     0.8489     2.95
6        0.9888   1.0000       0.9778     0.9931     2.08
7        0.8119   0.7736       0.8542     0.8750     2.92
8        0.7018   0.5797       0.8889     0.7589     3.18
9        0.9677   0.9375       1.0000     0.9793     2.07
10       0.9438   0.9130       0.9767     0.9640     2.96
11       0.5714   0.5283       0.6222     0.7021     3.18
12       0.0444   0.0952       0.0290     0.3630     3.07
13       0.9888   0.9778       1.0000     0.9931     2.10
14       0.6667   0.6889       0.6458     0.7961     2.93
15       1.0000   1.0000       1.0000     1.0000     2.04
16       1.0000   1.0000       1.0000     1.0000     2.04
17       0.9831   1.0000       0.9667     0.9848     2.24
18       0.9846   0.9697       1.0000     0.9861     2.06
21       0.6554   0.6667       0.6444     0.7053     2.32
22       0.8000   0.6880       0.9556     0.7923     2.63
31       0.9697   0.9412       1.0000     0.9722     2.04
32       1.0000   1.0000       1.0000     1.0000     2.43
33       0.8936   0.8400       0.9545     0.9242     2.88
34       0.9412   0.8889       1.0000     0.9444     2.01
41       0.7456   0.7975       0.7000     0.7440     1.85
42       0.9274   0.8737       0.9881     0.9198     1.70
43       0.5238   0.4583       0.6111     0.6296     2.90
45       0.8222   0.8222       0.8222     0.8095     1.96
51       0.9721   0.9775       0.9667     0.9702     1.85
52       0.9663   0.9773       0.9556     0.9643     1.86
53       0.9310   0.9643       0.9000     0.9286     1.98
54       0.9419   0.9878       0.9000     0.9405     2.10
61       0.9070   0.8864       0.9286     0.9012     1.72
62       0.6197   0.6286       0.6111     0.7500     2.90
63       0.7978   0.7374       0.8690     0.7716     2.48
64       0.8953   0.8750       0.9167     0.8889     2.49
66       0.8931   0.9467       0.8452     0.8951     2.49
67       0.8333   0.8730       0.7971     0.8370     2.01
68       0.7692   0.6250       1.0000     0.6786     1.96
72       0.1667   0.1818       0.1538     0.4872     59.42
73       0.1481   0.1159       0.2051     0.2137     26.30
83       0.8169   0.8286       0.8056     0.8796     2.82
84       0.6410   0.5952       0.6944     0.7407     2.80
