
Multi-Variant CV on CWE416_Use_After_Free epoch 20
Overall Results:
Macro-F1: 0.6829
Macro-Precision: 0.6895
Macro-Recall: 0.6775
Accuracy: 0.7741

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.4000   0.5000       0.3333     0.6604     1.81
2        0.9091   1.0000       0.8333     0.9659     1.74
3        0.6429   0.9000       0.5000     0.8864     1.74
4        0.3871   0.4615       0.3333     0.7841     1.74
5        0.6667   0.5556       0.8333     0.8295     2.90
6        0.7647   0.8125       0.7222     0.9091     1.76
7        0.3182   0.2692       0.3889     0.6591     3.09
8        0.2941   0.3125       0.2778     0.7273     3.09
9        0.6829   0.6087       0.7778     0.8523     1.74
10       0.5532   0.4483       0.7222     0.7614     2.88
11       0.0526   0.0500       0.0556     0.5909     3.06
12       0.6667   0.5833       0.7778     0.7358     2.92
13       0.4286   0.6000       0.3333     0.8182     1.74
14       0.5116   0.4400       0.6111     0.7614     3.09
15       0.4800   0.8571       0.3333     0.8523     1.76
16       0.5600   1.0000       0.3889     0.7925     1.81
17       0.7879   0.8667       0.7222     0.8679     1.85
18       0.6897   0.9091       0.5556     0.8302     1.83
43       0.0625   0.0667       0.0588     0.4118     2.47
62       0.0000   0.0000       0.0000     0.4706     2.49
63       0.6429   0.7500       0.5625     0.7917     2.73
64       0.7143   0.8333       0.6250     0.8333     2.71
