
Multi-Variant CV on CWE476_NULL_Pointer_Dereference epoch 43
Overall Results:
Macro-F1: 0.7029
Macro-Precision: 0.7016
Macro-Recall: 0.7043
Accuracy: 0.7475

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        1.0000   1.0000       1.0000     1.0000     1.50
2        1.0000   1.0000       1.0000     1.0000     1.33
3        1.0000   1.0000       1.0000     1.0000     1.33
4        1.0000   1.0000       1.0000     1.0000     1.33
5        0.8000   0.6667       1.0000     0.8750     2.25
6        1.0000   1.0000       1.0000     1.0000     1.33
7        0.0000   0.0000       0.0000     0.7500     2.38
8        0.1818   0.2500       0.1429     0.7273     2.30
9        0.0000   0.0000       0.0000     0.6667     1.33
10       1.0000   1.0000       1.0000     1.0000     2.25
11       0.3529   0.3000       0.4286     0.6667     2.30
12       0.5556   0.4545       0.7143     0.6000     2.05
13       0.0000   0.0000       0.0000     0.6667     1.33
14       1.0000   1.0000       1.0000     1.0000     2.38
15       0.0000   0.0000       0.0000     0.6667     1.33
16       1.0000   1.0000       1.0000     1.0000     1.50
17       0.0000   0.0000       0.0000     0.6000     2.00
18       0.0000   0.0000       0.0000     0.5000     1.50
21       0.6250   0.4545       1.0000     0.7000     2.10
22       0.6667   0.7500       0.6000     0.8500     2.25
41       0.0000   0.0000       0.0000     0.4000     1.73
45       0.7143   0.6250       0.8333     0.7778     1.67
51       0.9091   0.8333       1.0000     0.9333     1.73
52       0.7500   1.0000       0.6000     0.8667     1.73
53       0.8889   1.0000       0.8000     0.9333     1.80
54       0.8889   1.0000       0.8000     0.9333     1.80
63       0.6154   0.5000       0.8000     0.6667     2.47
64       0.2857   0.5000       0.2000     0.6667     2.47
66       0.7273   0.8000       0.6667     0.8333     2.44
67       0.5000   0.6667       0.4000     0.7333     1.87
68       0.5882   0.4545       0.8333     0.6111     1.67
72       0.8000   0.6667       1.0000     0.8333     60.83
73       0.0000   0.0000       0.0000     0.4444     26.67
